,candidate,pact,party,district,votes,percentage
881, KAREN MARCELA MORALES ROZAS,PDG,PDG,21,12057,0.030891226092414906
882, CARLOS FELIPE AGURTO PEDREROS,PDG,PDG,21,4694,0.012026492102330229
883, CHRISTIAN RODRIGO FUENTES CABEZAS,PDG,PDG,21,3904,0.010002433993927825
884, SANDRA AMERICA NEIRA ESPINOZA,PDG,PDG,21,3875,0.009928133126657357
885, JOANNA PEREZ OLEA,CHILEVAMOS,DEMOCRATAS,21,32824,0.08409833335468415
886, ELIZABETH MARICAN RIVAS,CHILEVAMOS,DEMOCRATAS,21,12882,0.03300495766131615
887, BARBARA KAST SOMMERHOFF,CHILEVAMOS,EVOPOLI,21,18122,0.04643035574742829
888, JORGE CONTRERAS BLUMEL,CHILEVAMOS,EVOPOLI,21,3011,0.007714479701771692
889, MARIO GIERKE QUEVEDO,CHILEVAMOS,UDI,21,21391,0.05480585695802001
890, FLOR WEISSE NOVOA,CHILEVAMOS,UDI,21,36115,0.09253020074044657
891, CRISTOBAL URRUTICOECHEA RIOS,REP/PNL/PSC,PNL,21,27947,0.07160297715888857
892, EVELYN CAAMAÑO GONZALEZ,REP/PNL/PSC,PNL,21,9340,0.023930003458833476
893, FERNANDO PEÑA RIVERA,REP/PNL/PSC,REPUBLICAN,21,21644,0.055454067972483055
894, SOLANGE ETCHEPARE LACOSTE,REP/PNL/PSC,REPUBLICAN,21,8064,0.020660765298932886
895, IVANIA PAOLA ROJAS CASTILLO,REP/PNL/PSC,PSC,21,3685,0.009441334341092223
896, PATRICIO BADILLA COFRE,REP/PNL/PSC,PSC,21,10947,0.02804729634516596
897, VALENTINA SAEZ CASANOVA,PEV,PEV,22,2644,0.01359655663603499
898, RAUL HUILCAL BARRIA,PEV,PEV,22,1161,0.005970348810301294
899, WANGLEN MILA HUENUMILLA,PEV,PEV,22,1668,0.008577555396711936
900, EDUARDO CUELLAR FERREIRA,PEV,PEV,22,1064,0.00547153413795054
901, EMILIA COÑUMIL QUIÑIMIL,FREVS/AH,FREVS,22,5725,0.029440350507299665
902, LAUTARO GUANCA VALLEJOS,FREVS/AH,FREVS,22,847,0.004355629149289574
903, JUAN PABLO JARAMILLO GONZALEZ,FREVS/AH,FREVS,22,1569,0.008068455885756012
904, ANDREA PARRA SAUTEREL,UNIDAD,PPD,22,14430,0.07420511053630291
905, PATRICIO POZA BARRERA,UNIDAD,PPD,22,10129,0.05208756511588442
906, LUIS PENCHULEO MORALES,UNIDAD,FA,22,8479,0.04360257326661901
907, MANUELA ROYO LETELIER,UNIDAD,FA,22,3913,0.020122286731015473
908, XIMENA SEPULVEDA VARAS,UNIDAD,PDC,22,1689,0.008685546202066224
909, MARCELA ROA SUAZO,AMARILLOS,AMARILLOS,22,2356,0.012115539876890482
910, JAVIERA FRANCISCA VICTORIA IBARRA LARENAS,AMARILLOS,AMARILLOS,22,1770,0.009102082165575617
911, LLERY YANIRA CARRASCO ESPINOZA,AMARILLOS,AMARILLOS,22,1246,0.006407454451021028
912, EDITH ELENA PALMA MENDEZ,AMARILLOS,AMARILLOS,22,821,0.004221926247422362
913, DANIELA NATALY GONZALEZ FARIÑA,PDG,PDG,22,6784,0.03488617254873728
914, GUIDO ANTONIO DIAZ VERGARA,PDG,PDG,22,3942,0.020271416890790442
915, ALEXIS OJEDA ALTAMIRANO,PDG,PDG,22,3466,0.017823625302759938
916, PATRICIA DEL CARMEN MUÑOZ BELTRAN,PDG,PDG,22,2368,0.012177248908521503
917, RAMIRO ADRIAN RODRIGUEZ MAUREIRA,PDG,PDG,22,1200,0.006170903163102113
918, JUAN CARLOS BELTRAN SILVA,CHILEVAMOS,RN,22,25762,0.1324790060731972
919, EDUARDO CRETTON REBOLLEDO,CHILEVAMOS,UDI,22,29658,0.15251387167606872
920, VICTOR MANOLI NAZAL,CHILEVAMOS,EVOPOLI,22,6860,0.035276996415733744
921, JORGE SAFFIRIO ESPINOZA,CHILEVAMOS,DEMOCRATAS,22,15294,0.07864816081373643
922, GLORIA NAVEILLAN ARRIAGADA,REP/PNL/PSC,PNL,22,16389,0.08427910995006711
923, VICTOR BADILLA URRA,REP/PNL/PSC,PNL,22,6677,0.03433593368336067
924, ROBERTO QUINTANA BURGOS,REP/PNL/PSC,PSC,22,3785,0.019464057060284583
925, FELIPE MARTINEZ REYES,REP/PNL/PSC,REPUBLICAN,22,8432,0.04336087955939751
926, DEBORAH NEGRETE PLAZA,REP/PNL/PSC,REPUBLICAN,22,4333,0.02228210283810121
927, JESSICA MENDEZ CANAVES,PEV,PEV,23,4074,0.009510825158630479
928, IVAN GORKY ROJAS VILLAGRA,PEV,PEV,23,1282,0.002992851706765899
929, CONSTANZA GONZALEZ GONZALEZ,PEV,PEV,23,2349,0.0054837821054548345
930, VICTOR VILCHES VARGAS,PEV,PEV,23,1743,0.004069064371991391
931, DORIS BLANCO LLANQUILEO,PEV,PEV,23,2614,0.006102429299131093
932, LEONEL MERIÑO BAHAMONDE,PEV,PEV,23,1110,0.0025913146603043277
933, TAMARA MORALES SILVA,PEV,PEV,23,2339,0.005460436928334976
934, DANIEL SANDOVAL POBLETE,FREVS/AH,FREVS,23,5215,0.012174509868006368
935, MARCELO CARRASCO CARRASCO,FREVS/AH,FREVS,23,10147,0.023688351223520733
936, PAMELA ÑANCUPIL MARTIN,FREVS/AH,FREVS,23,5367,0.012529356560228222
937, DANIEL HIDALGO VELOSO,FREVS/AH,FREVS,23,1163,0.0027150440990395793
938, OSCAR ALBORNOZ TORRES,FREVS/AH,FREVS,23,1590,0.0037118831620575506
939, ANA NICUL SABARIA,FREVS/AH,FREVS,23,1449,0.0033827161646675413
940, HECTOR CUMILAF HUENTEMIL,FREVS/AH,FREVS,23,3919,0.009148974913272667
941, PATRICIA ESCOBAR APABLAZA,FREVS/AH,FREVS,23,1220,0.0028481116086227745
942, JAIME QUINTANA LEAL,UNIDAD,PPD,23,18423,0.043008819807915884
943, JOSE MONTALVA FEUERHAKE,UNIDAD,PPD,23,33884,0.07910279815292959
944, COCA ÑANCO VASQUEZ,UNIDAD,FA,23,28418,0.06634232433921476
945, CHRISTIAN DULANSKY ARAYA,UNIDAD,FA,23,5289,0.012347264178693324
946, PABLO DIAZ SALAZAR,UNIDAD,PDC,23,2999,0.007001218618245657
947, CARLOS ALEXIS VALLEJOS VALLEJOS,UNIDAD,PDC,23,2951,0.006889161768070334
948, CLAUDIA  TAPIA DE LA PEÑA,UNIDAD,PS,23,6898,0.016103503177278607
949, RAUL ALLARD SOTO,UNIDAD,PS,23,3616,0.008441616046540945
950, ANDRES ALFONSO JOUANNET VALDERRAMA,AMARILLOS,AMARILLOS,23,12618,0.029456944489837843
951, FRANCISCA SYLVIA HUIRILEF BARRA,AMARILLOS,AMARILLOS,23,2631,0.006142116100234852
952, JORGE DENNIS JARAMILLO HOTT,AMARILLOS,AMARILLOS,23,4927,0.011502168766954434
953, ISADORA ALEJANDRA REYNOLDS CAVALLIERI,AMARILLOS,AMARILLOS,23,1605,0.003746900927737339
954, MIGUEL ANGEL CORTES IBARRA,AMARILLOS,AMARILLOS,23,5322,0.012424303263188857
955, SOLEDAD BURGOS MARTINEZ,AMARILLOS,AMARILLOS,23,984,0.0022971654285941067
956, SERGIO HECTOR YAÑEZ REVECO,AMARILLOS,AMARILLOS,23,991,0.0023135070525780077
957, SOLANGE NOEL CARMINE ROJAS,AMARILLOS,AMARILLOS,23,3889,0.00907893938191309
958, FLOR ROSSANY CONTRERAS VIVALLO,PDG,PDG,23,10759,0.025117076063256093
959, ORLANDO CHRISTIAN MACHEFERT INOSTROZA,PDG,PDG,23,6619,0.015452172735634545
960, CRISTIAN ALIRO MUÑOZ GARRIDO,PDG,PDG,23,6885,0.01607315444702279
961, HERNAN GONZALO COÑOMAN LEPIMAN,PDG,PDG,23,6211,0.014499689509144306
962, ROBINSON DARIO ILLANES ACUÑA,PDG,PDG,23,3979,0.00928904597599182
963, JESSICA LORENA ANTILEF LINCOLAO,PDG,PDG,23,6766,0.01579534683929647
964, MARIA DELIA YAÑEZ BARRERA,PDG,PDG,23,2376,0.005546814083678453
965, AMERICO ARLIN MUÑOZ BELTRAN,PDG,PDG,23,2064,0.004818444557538858
966, TOMAS KAST SOMMERHOFF,CHILEVAMOS,EVOPOLI,23,34870,0.08140463261694766
967, CLAUDIA SALAS MELINAO,CHILEVAMOS,EVOPOLI,23,5722,0.01335811034798321
968, IGNACIA GOMEZ MARTINEZ,CHILEVAMOS,DEMOCRATAS,23,2376,0.005546814083678453
969, AXEL GONZALEZ MANQUEIN,CHILEVAMOS,DEMOCRATAS,23,4820,0.011252375371771945
970, GENOVEVA SEPULVEDA VENEGAS,CHILEVAMOS,UDI,23,9228,0.021542929446205707
971, GERMAN VERGARA LAGOS,CHILEVAMOS,UDI,23,11551,0.026966014091148908
972, RENE MANUEL GARCIA GARCIA,CHILEVAMOS,RN,23,18105,0.042266443175504376
973, PEDRO DURAN SANHUEZA,CHILEVAMOS,RN,23,13502,0.031520658147233364
974, STEPHAN SCHUBERT RUBIO,REP/PNL/PSC,REPUBLICAN,23,40705,0.09502654346638528
975, CRISTIAN NEIRA MARTINEZ,REP/PNL/PSC,REPUBLICAN,23,14010,0.03270659314492219
976, CLAUDIA STAMBUK MARDONES,REP/PNL/PSC,PNL,23,9801,0.02288060809517362
977, CLAUDIA PICHULMAN CUADRA,REP/PNL/PSC,PNL,23,7072,0.01650970925916415
978, RODOLFO VALENZUELA PARDO,REP/PNL/PSC,PNL,23,9586,0.022378686787096654
979, MIGUEL SANZANA VILLABLANCA,REP/PNL/PSC,PSC,23,3766,0.008791793703338827
980, JOSE BRAVO BURGOS,REP/PNL/PSC,PSC,23,7453,0.01739916050743077
981, JORGE SEPULVEDA ROSALES,REP/PNL/PSC,PSC,23,9102,0.021248780214495486
982, CECILIA BRAVO MORAGA,FREVS/AH,FREVS,24,2740,0.010590558941871745
983, MARIO MONTECINOS AROS,FREVS/AH,FREVS,24,1976,0.007637570974138164
984, JOVA OPORTO VALENZUELA,FREVS/AH,FREVS,24,1629,0.006296357852667546
985, YESSICA GAVILAN ROBLES,FREVS/AH,FREVS,24,1543,0.005963953447922666
986, JUAN ARAYA MARDONES,FREVS/AH,FREVS,24,1168,0.0045145156365351095
987, ANA MARIA BRAVO CASTRO,UNIDAD,PS,24,8010,0.030959991651238205
988, MARCOS ILABACA CERDA,UNIDAD,PS,24,33641,0.13002809976770344
989, MATIAS FERNANDEZ HARTWIG,UNIDAD,FA,24,26179,0.10118621990483957
990, WALDO FLORES VERA,UNIDAD,PDC,24,10891,0.04209553921019167
991, VANESSA HUAIQUIMILLA PINOCHET,UNIDAD,PPD,24,7968,0.030797654616362802
992, LORENNA SALDIAS YAÑEZ,UNIDAD,PR,24,1846,0.007135099199523811
993, GERARDO LARA MARTINEZ,PDG,PDG,24,8011,0.03096385681873524
994, TABINA GABRIELA MANQUE MANQUE,PDG,PDG,24,4938,0.019086197100351344
995, FELIPE EMILIO ARANDA SARAVIA,PDG,PDG,24,3946,0.015251950943294127
996, ANDREA BURGOS VICUÑA,PDG,PDG,24,3608,0.01394552432929681
997, MARCELO MIGUEL FRANCO FRANCO,PDG,PDG,24,4536,0.017532399766543885
998, GASTON VON MUHLENBROCK ZAMORA,CHILEVAMOS,UDI,24,9632,0.037229293331426515
999, OMAR SABAT GUZMAN,CHILEVAMOS,UDI,24,26518,0.10249651168633393
1000, ANN HUNTER GUTIERREZ,CHILEVAMOS,UDI,24,2823,0.010911367844125525
1001, KARINA SILVA FERNANDEZ,CHILEVAMOS,RN,24,3348,0.012940580780068104
1002, SYLVIA YUNGE WULF,CHILEVAMOS,RN,24,3893,0.015047097065951353
1003, DANIEL VALENZUELA SALAZAR,CHILEVAMOS,RN,24,15031,0.058097332647910296
1004, TAMAR MUÑOZ SEPULVEDA,REP/PNL/PSC,PSC,24,4496,0.017377793066662543
1005, LUIS GAETE ALVAREZ,REP/PNL/PSC,PNL,24,13598,0.05255854762466131
1006, LEANDRO KUNSTMANN COLLADO,REP/PNL/PSC,REPUBLICAN,24,23371,0.09033282957316956
1007, PAULINA HERNANDEZ VALDERRAMA,REP/PNL/PSC,REPUBLICAN,24,5418,0.020941477498927417
1008, JOSÉ ANTONIO URRUTIA RIESCO,77 JOSÉ ANTONIO URRUTIA RIESCO,IND,24,27963,0.10808167871954731
1009, GUSTAVO LOBOS CONTRERAS,FREVS/AH,FREVS,25,2540,0.010834097549531874
1010, MANUEL RIVERA ALTAMIRANO,FREVS/AH,FREVS,25,9773,0.041685683209281496
1011, FLORA COLIPAI PAFIAN,FREVS/AH,FREVS,25,2861,0.012203288617799483
1012, CARLOS LIZANA MARDONES,FREVS/AH,FREVS,25,1608,0.006858751519546162
1013, PAMELA MANSILLA LAVADO,FREVS/AH,FREVS,25,1951,0.008321781228006569
1014, HECTOR BARRIA ANGULO,UNIDAD,PDC,25,32211,0.13739256542046108
1015, JAIME FIGUEROA LEVIGUAN,UNIDAD,FA,25,7545,0.032182388193392905
1016, NATALY JAVIERA OYARZO CARDENAS,UNIDAD,PL,25,2760,0.011772483951459831
1017, RAMON ESPINOZA SANDOVAL,UNIDAD,PPD,25,12222,0.05213163001983408
1018, EMILIA  NUYADO ANCAPICHUN,UNIDAD,PS,25,30571,0.13039732133336177
1019, ISIDORO RODOLFO BARQUIN PARDO,PDG,PDG,25,8494,0.03623024589989123
1020, MAURICE GOUDIE DOMINGUEZ,PDG,PDG,25,3477,0.014830770543197765
1021, ANGELICA ELIANA MANRIQUEZ SANTIBAÑEZ,PDG,PDG,25,7270,0.03100940519098296
1022, ERWIN DAVID PEREZ MONJE,PDG,PDG,25,2512,0.01071466655292286
1023, SAMUEL DARIO CARDENAS VIVAR,PDG,PDG,25,3632,0.01549190641728337
1024, DANIEL LILAYU VIVANCO,CHILEVAMOS,UDI,25,24795,0.10576041289001685
1025, RAMON BAHAMONDE CEA,CHILEVAMOS,UDI,25,6691,0.028539742796818018
1026, LORENA LEICHTLE BERTIN,CHILEVAMOS,RN,25,10432,0.04449657702232933
1027, MATIAS DOMEYKO PRIETO,CHILEVAMOS,RN,25,6167,0.026304677003135064
1028, JUANCLAUDIO GARCIA FILUN,CHILEVAMOS,EVOPOLI,25,1568,0.0066881358101047155
1029, SEBASTIAN CRISTI ALFONSO,REP/PNL/PSC,PNL,25,9362,0.03993260679477063
1030, PAULINA MUÑOZ MINTE,REP/PNL/PSC,PNL,25,20229,0.0862846296572757
1031, KAREN BERRIOS GUERRA,REP/PNL/PSC,REPUBLICAN,25,16607,0.07083537716735268
1032, ANDREA ITURRIAGA HEWSTONE,REP/PNL/PSC,REPUBLICAN,25,9167,0.039100855211243575
1033, ADRIANA AMPUERO BARRIENTOS,FREVS/AH,FREVS,26,9414,0.03168416801292407
1034, MARISOL ROSAS ALVARADO,FREVS/AH,FREVS,26,2295,0.007724151857835218
1035, CLAUDIO TURRA GONZALEZ,FREVS/AH,FREVS,26,2885,0.00970988152934841
1036, DANIELA QUEZADA SERON,FREVS/AH,FREVS,26,1960,0.006596661281637049
1037, CLAUDIO CID JARA,FREVS/AH,FREVS,26,1471,0.004950861604738826
1038, JUAN CARCAMO CARCAMO,FREVS/AH,FREVS,26,4925,0.016575794291868607
1039, HECTOR ULLOA AGUILERA,UNIDAD,PPD,26,20441,0.06879711900915456
1040, JAIME SAEZ QUIROZ,UNIDAD,FA,26,9506,0.03199380721593969
1041, MANUEL BALLESTEROS CURUMILLA,UNIDAD,PS,26,14865,0.050030290791599354
1042, ALEXIS OSSES MOYANO,UNIDAD,PCCH,26,5488,0.01847065158858374
1043, FEVE HUGO LORCA,UNIDAD,PDC,26,2547,0.008572294022617125
1044, ALEJANDRO JAVIER BERNALES MALDONADO,UNIDAD,PL,26,35435,0.11926157781367798
1045, ALEX MANUEL NAHUELQUIN NAHUELQUIN,PDG,PDG,26,30324,0.10205977382875606
1046, ANDREA QUINTANA DIAZ,PDG,PDG,26,7618,0.02563947226709747
1047, XIMENA URIBE CANOBRA,PDG,PDG,26,4428,0.014903069466882067
1048, ALEXIS MALDONADO RAMOS,PDG,PDG,26,3944,0.013274098007539042
1049, LUIS MARIANO CHODIL SOTO,PDG,PDG,26,3604,0.012129779213785675
1050, MAURO GONZALEZ VILLARROEL,CHILEVAMOS,RN,26,35202,0.11847738287560582
1051, JUAN EDUARDO VERA SANHUEZA,CHILEVAMOS,RN,26,17886,0.060197899838449115
1052, LORETO KEMP OYARZUN,CHILEVAMOS,EVOPOLI,26,2333,0.007852046311254713
1053, ALEJANDRO CAROCA MARAZZI,CHILEVAMOS,EVOPOLI,26,3444,0.011591276252019386
1054, KATERINE MONTEALEGRE NAVARRO,CHILEVAMOS,UDI,26,7306,0.024589391491653203
1055, FERNANDO BORQUEZ MONTECINOS,CHILEVAMOS,UDI,26,10814,0.036396068928379106
1056, CLAUDIA REYES LARENAS,REP/PNL/PSC,REPUBLICAN,26,30865,0.10388058696822833
1057, CARLOS SEITZ ASPEE,REP/PNL/PSC,REPUBLICAN,26,10875,0.03660137318255251
1058, MARIA SOLEDAD LORCA SAU,REP/PNL/PSC,PNL,26,7429,0.02500336564351104
1059, MARCELO CASTILLO ALDUNATE,REP/PNL/PSC,PNL,26,6601,0.02221661281637049
1060, MARCO MELO HERNANDEZ,REP/PNL/PSC,PSC,26,1788,0.006017770597738287
1061, NATACHA RIVAS MORALES,REP/PNL/PSC,PSC,26,1427,0.0048027732902530965
1062, RENE ALINCO BUSTOS,FREVS/AH,FREVS,27,8889,0.14260504066866667
1063, SERGIO GONZALEZ BORQUEZ,FREVS/AH,FREVS,27,3937,0.06316076556559126
1064, DANIELA OLAVARRIA MOREIRA,FREVS/AH,FREVS,27,856,0.01373269375772063
1065, BORIS ROMERO BELLO,FREVS/AH,FREVS,27,1300,0.020855726501211237
1066, ANDREA MACIAS PALMA,UNIDAD,PS,27,9625,0.1544125904416601
1067, ROMINA CEJAS HIDALGO,UNIDAD,FA,27,1503,0.02411242840870807
1068, LUPERCIANO MUÑOZ GONZALEZ,UNIDAD,PR,27,7935,0.12730014599008552
1069, PATRICIO AYLWIN FUENTEALBA,UNIDAD,PDC,27,904,0.014502751351611507
1070, KARIN PAMELA CONTRERAS MURTSCHWA,PDG,PDG,27,2431,0.03900020855726501
1071, MARCIA RAPHAEL MORA,CHILEVAMOS,RN,27,6361,0.10204867405708051
1072, ALEJANDRA VALDEBENITO TORRES,CHILEVAMOS,UDI,27,6451,0.10349253204562592
1073, GUILLERMO PEREZ PACHECO,CHILEVAMOS,DEMOCRATAS,27,777,0.012465307301108562
1074, GEOCONDA NAVARRETE ARRATIA,CHILEVAMOS,EVOPOLI,27,2546,0.04084513820929524
1075, CRISTIAN BORQUEZ ACUÑA,REP/PNL/PSC,PNL,27,4166,0.06683458200311232
1076, JORGE PEREZ URRA,REP/PNL/PSC,PSC,27,857,0.013748736624260023
1077, JAIME CEBALLOS VERGARA,REP/PNL/PSC,REPUBLICAN,27,3795,0.06088267851699742
1078, RODRIGO UTZ CONTRERAS,FREVS/AH,FREVS,28,3563,0.03541890333611675
1079, THOMAS LORCA ALMONACID,FREVS/AH,FREVS,28,813,0.008081832279613503
1080, JAVIERA MORALES ALVARADO,UNIDAD,FA,28,9359,0.09303550837011412
1081, VERONICA AGUILAR MARTINEZ,UNIDAD,PR,28,8287,0.08237902103463358
1082, IVANIA SALINAS VILLANUEVA,UNIDAD,PCCH,28,2660,0.026442403276472227
1083, PABLO BUSSENIUS CORNEJO,UNIDAD,PS,28,3795,0.037725158057974474
1084, ABEL ALEJANDRO FERNANDEZ TRAIPE,PDG,PDG,28,3574,0.03552825162034276
1085, ROBERTO SAHR DOMIAN,PDG,PDG,28,2015,0.020030617519583283
1086, RICARDO HERNANDEZ CREMASCHI,CHILEVAMOS,EVOPOLI,28,2387,0.023728577677044813
1087, JENNIFFER ROJAS GARCIA,CHILEVAMOS,RN,28,3540,0.03519026601455326
1088, GRACIELA ANDRADE PACHECO,CHILEVAMOS,UDI,28,818,0.008131536045170782
1089, CHRISTIAN MATHESON VILLAN,CHILEVAMOS,UDI,28,2770,0.027535886118732356
1090, ALEJANDRO RIQUELME DUCCI,REP/PNL/PSC,REPUBLICAN,28,12685,0.12609845321881585
1091, JUAN SRDANOVIC ARCOS,REP/PNL/PSC,REPUBLICAN,28,5513,0.054803371903455404
1092, JAVIERA CALVO RIFO,REP/PNL/PSC,PSC,28,4690,0.04662213209272734
1093, RAMON AGUILAR TOBAR,REP/PNL/PSC,PNL,28,3606,0.03584635571990934
1094, CARLOS ANTONIO KARIM BIANCHI CHELECH,67 CARLOS ANTONIO KARIM BIANCHI CHELECH,IND,28,24954,0.24806155314326614
1095, CLAUDIA PAOLA BARRIENTOS SANCHEZ,68 CLAUDIA PAOLA BARRIENTOS SANCHEZ,IND,28,5567,0.055340172571474014
